ts,open,high,low,close,vol,turn
2025-06-01 01:15:00+00:00,13.946,13.972,13.904,13.939,54304.3,756468.5378
2025-06-01 01:30:00+00:00,13.939,13.949,13.855,13.859,40340.7,560291.521
2025-06-01 01:45:00+00:00,13.859,13.897,13.79,13.84,110645.8,1532298.0489
2025-06-01 02:00:00+00:00,13.84,13.84,13.741,13.747,347622.5,4788036.5887
2025-06-01 02:15:00+00:00,13.747,13.831,13.747,13.826,91966.9,1266780.3155
2025-06-01 02:30:00+00:00,13.826,13.882,13.826,13.863,42073.6,583280.806
2025-06-01 02:45:00+00:00,13.863,13.878,13.832,13.869,83354.1,1155186.0202
2025-06-01 03:00:00+00:00,13.869,13.877,13.783,13.791,62408.1,862110.9487
2025-06-01 03:15:00+00:00,13.791,13.827,13.737,13.799,88639.3,1221581.2867
2025-06-01 03:30:00+00:00,13.799,13.874,13.795,13.856,52877.8,732627.4741
2025-06-01 03:45:00+00:00,13.856,13.887,13.824,13.829,118563.7,1641970.8507
2025-06-01 04:00:00+00:00,13.829,13.864,13.828,13.851,64568.0,893776.8788
2025-06-01 04:15:00+00:00,13.851,13.894,13.849,13.889,30987.3,430044.3124
2025-06-01 04:30:00+00:00,13.889,13.961,13.889,13.952,105279.8,1465615.0685
2025-06-01 04:45:00+00:00,13.952,13.984,13.939,13.942,53361.9,744700.2616
2025-06-01 05:00:00+00:00,13.942,13.98,13.925,13.939,68002.2,948417.9733
2025-06-01 05:15:00+00:00,13.939,13.947,13.878,13.885,64572.3,897872.3749
2025-06-01 05:30:00+00:00,13.885,13.906,13.861,13.864,102621.2,1425006.2409
2025-06-01 05:45:00+00:00,13.864,13.864,13.827,13.843,63251.1,875494.4157
2025-06-01 06:00:00+00:00,13.843,13.851,13.816,13.833,74919.4,1035918.3375
2025-06-01 06:15:00+00:00,13.833,13.854,13.796,13.841,52918.3,731237.6452
2025-06-01 06:30:00+00:00,13.841,13.887,13.841,13.861,53244.8,738190.163
2025-06-01 06:45:00+00:00,13.861,13.871,13.818,13.828,39864.0,551700.0692
2025-06-01 07:00:00+00:00,13.828,13.858,13.79,13.845,55704.8,769865.0265
2025-06-01 07:15:00+00:00,13.845,13.886,13.831,13.882,67909.3,941050.2141
2025-06-01 07:30:00+00:00,13.882,13.884,13.842,13.873,49150.7,681322.0452
2025-06-01 07:45:00+00:00,13.873,13.892,13.836,13.854,89135.3,1234865.1724
2025-06-01 08:00:00+00:00,13.854,13.877,13.81,13.829,41498.6,574565.946
2025-06-01 08:15:00+00:00,13.829,13.846,13.777,13.794,38979.0,538110.5555
2025-06-01 08:30:00+00:00,13.794,13.837,13.781,13.83,28794.1,397737.1902
2025-06-01 08:45:00+00:00,13.83,13.838,13.745,13.78,68910.2,949640.8123
2025-06-01 09:00:00+00:00,13.78,13.824,13.704,13.73,77418.7,1063171.3218
2025-06-01 09:15:00+00:00,13.73,13.734,13.675,13.692,137102.0,1878289.498
2025-06-01 09:30:00+00:00,13.692,13.692,13.605,13.624,77305.1,1054917.8051
2025-06-01 09:45:00+00:00,13.624,13.661,13.569,13.66,76497.2,1041897.1016
2025-06-01 10:00:00+00:00,13.66,13.731,13.629,13.729,76442.9,1046444.4244
2025-06-01 10:15:00+00:00,13.729,13.758,13.704,13.723,40439.0,555484.7284
2025-06-01 10:30:00+00:00,13.723,13.734,13.652,13.707,133386.4,1827208.8163
2025-06-01 10:45:00+00:00,13.707,13.765,13.697,13.756,37272.0,512018.6246
2025-06-01 11:00:00+00:00,13.756,13.78,13.738,13.762,44130.2,607113.5194
2025-06-01 11:15:00+00:00,13.762,13.809,13.761,13.793,35923.3,495278.3429
2025-06-01 11:30:00+00:00,13.793,13.832,13.774,13.826,29897.7,412621.0481
2025-06-01 11:45:00+00:00,13.826,13.837,13.789,13.799,30887.4,426608.1703
2025-06-01 12:00:00+00:00,13.799,13.82,13.741,13.799,49633.8,683957.6886
2025-06-01 12:15:00+00:00,13.799,13.81,13.748,13.779,42025.7,579505.6355
2025-06-01 12:30:00+00:00,13.779,13.795,13.689,13.738,47111.5,646910.657
2025-06-01 12:45:00+00:00,13.738,13.762,13.722,13.755,158809.4,2180532.8294
2025-06-01 13:00:00+00:00,13.755,13.82,13.74,13.812,54416.2,749551.3626
2025-06-01 13:15:00+00:00,13.812,13.857,13.797,13.8,55295.4,764976.9245
2025-06-01 13:30:00+00:00,13.8,13.868,13.8,13.857,77081.4,1066659.8888
2025-06-01 13:45:00+00:00,13.857,13.871,13.795,13.804,100719.9,1393718.8859
2025-06-01 14:00:00+00:00,13.804,13.926,13.802,13.882,60251.6,835331.1462
2025-06-01 14:15:00+00:00,13.882,13.957,13.879,13.936,68247.2,950451.6815
2025-06-01 14:30:00+00:00,13.936,13.957,13.913,13.934,33265.3,463570.3096
2025-06-01 14:45:00+00:00,13.934,13.957,13.888,13.901,29136.2,405442.9915
2025-06-01 15:00:00+00:00,13.901,13.914,13.864,13.872,42944.9,596263.2449
2025-06-01 15:15:00+00:00,13.872,13.938,13.863,13.925,36471.3,507047.0342
2025-06-01 15:30:00+00:00,13.925,13.954,13.917,13.935,57310.4,798676.6456
