symbol,entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,exit_reason,sl_price,tp_price,sl_what_if_hit_tp,sl_what_if_max_profit_pct,sl_what_if_max_loss_pct,params
SOLUSDT,2025-06-25 07:24:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.60000,147.03980,-0.00420,SL,147.03980,144.40100,True,0.03363,-0.00730,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:26:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.36000,145.14960,0.01380,TP,147.80208,145.14960,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-25 15:34:00+00:00,LONG,143.67000,143.23899,-0.00420,SL,143.23899,145.82505,True,0.02784,-0.01392,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:34:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.25000,145.39875,0.01380,TP,142.82025,145.39875,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 02:54:00+00:00,SHORT,145.70000,146.13710,-0.00420,SL,146.13710,143.51450,True,0.04269,-0.01352,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,146.75896,-0.00420,SL,146.75896,144.12520,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 04:27:00+00:00,SHORT,147.47000,145.25795,0.01380,TP,147.91241,145.25795,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 21:13:00+00:00,LONG,141.84000,141.41448,-0.00420,SL,141.41448,143.96760,False,-0.00106,-0.02989,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:13:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.34000,140.91598,-0.00420,SL,140.91598,143.46010,False,0.00248,-0.02646,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 22:43:00+00:00,LONG,139.74000,139.32078,-0.00420,SL,139.32078,141.83610,True,0.01696,-0.01531,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.14216,-0.00420,SL,141.14216,138.60920,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:28:00+00:00,2025-06-27 05:12:00+00:00,SHORT,141.17000,141.59351,-0.00420,SL,141.59351,139.05245,False,0.00595,-0.00666,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 06:44:00+00:00,2025-06-27 07:13:00+00:00,SHORT,141.20000,141.62360,-0.00420,SL,141.62360,139.08200,False,0.00482,-0.00644,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:25:00+00:00,SHORT,146.00000,146.73000,-0.00620,SL,146.73000,143.81000,True,0.02966,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:25:00+00:00,2025-06-25 15:31:00+00:00,SHORT,146.86000,144.65710,0.01380,TP,147.59430,144.65710,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-26 02:54:00+00:00,LONG,143.67000,145.82505,0.01380,TP,142.95165,145.82505,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,147.05160,-0.00620,SL,147.05160,144.12520,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 04:27:00+00:00,SHORT,147.47000,145.25795,0.01380,TP,148.20735,145.25795,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.84000,141.13080,-0.00620,SL,141.13080,143.96760,False,-0.00106,-0.02989,ema:10_rsi:14_fixed
